       zProf      rProfP      wProfP      tProfP      sProfP      aProfP   mIntProfP
  0.4000E+03  0.1000E+03  0.1000E+01  0.1000E-02  0.1000E-02  0.0000E+00  0.0000E+00
  0.3911E+03  0.7149E+02  0.1999E+01  0.9380E-01  0.5020E+00  0.1490E+04  0.7299E-02
  0.3772E+03  0.5850E+02  0.3119E+01  0.2831E+00  0.1821E+01  0.3257E+04  0.3305E-01
  0.3600E+03  0.5364E+02  0.3947E+01  0.5367E+00  0.3589E+01  0.5178E+04  0.9461E-01
  0.3406E+03  0.5186E+02  0.4546E+01  0.8176E+00  0.5548E+01  0.7213E+04  0.2069E+00
  0.3201E+03  0.5163E+02  0.4964E+01  0.1098E+01  0.7505E+01  0.9331E+04  0.3779E+00
  0.2991E+03  0.5228E+02  0.5250E+01  0.1361E+01  0.9344E+01  0.1151E+05  0.6084E+00
  0.2782E+03  0.5343E+02  0.5440E+01  0.1600E+01  0.1101E+02  0.1372E+05  0.8935E+00
  0.2576E+03  0.5489E+02  0.5563E+01  0.1811E+01  0.1249E+02  0.1595E+05  0.1226E+01
  0.2376E+03  0.5651E+02  0.5640E+01  0.1997E+01  0.1379E+02  0.1818E+05  0.1595E+01
  0.2183E+03  0.5821E+02  0.5685E+01  0.2158E+01  0.1492E+02  0.2039E+05  0.1993E+01
  0.1999E+03  0.5993E+02  0.5708E+01  0.2298E+01  0.1590E+02  0.2257E+05  0.2410E+01
  0.1824E+03  0.6163E+02  0.5716E+01  0.2420E+01  0.1675E+02  0.2469E+05  0.2839E+01
  0.1659E+03  0.6330E+02  0.5715E+01  0.2526E+01  0.1750E+02  0.2676E+05  0.3272E+01
  0.1503E+03  0.6490E+02  0.5707E+01  0.2619E+01  0.1815E+02  0.2875E+05  0.3705E+01
  0.1357E+03  0.6643E+02  0.5696E+01  0.2700E+01  0.1872E+02  0.3068E+05  0.4131E+01
  0.1220E+03  0.6788E+02  0.5681E+01  0.2771E+01  0.1921E+02  0.3252E+05  0.4548E+01
  0.1092E+03  0.6926E+02  0.5666E+01  0.2834E+01  0.1965E+02  0.3427E+05  0.4952E+01
  0.9726E+02  0.7055E+02  0.5650E+01  0.2889E+01  0.2004E+02  0.3594E+05  0.5341E+01
  0.8622E+02  0.7176E+02  0.5633E+01  0.2937E+01  0.2038E+02  0.3751E+05  0.5713E+01
  0.7600E+02  0.7288E+02  0.5617E+01  0.2980E+01  0.2068E+02  0.3899E+05  0.6065E+01
  0.6658E+02  0.7392E+02  0.5602E+01  0.3018E+01  0.2095E+02  0.4037E+05  0.6397E+01
  0.5793E+02  0.7488E+02  0.5588E+01  0.3051E+01  0.2118E+02  0.4166E+05  0.6709E+01
  0.5003E+02  0.7576E+02  0.5574E+01  0.3081E+01  0.2139E+02  0.4285E+05  0.6998E+01
  0.4284E+02  0.7657E+02  0.5562E+01  0.3107E+01  0.2157E+02  0.4394E+05  0.7266E+01
  0.3634E+02  0.7730E+02  0.5550E+01  0.3130E+01  0.2173E+02  0.4494E+05  0.7511E+01
  0.3050E+02  0.7796E+02  0.5540E+01  0.3150E+01  0.2187E+02  0.4585E+05  0.7734E+01
  0.2530E+02  0.7854E+02  0.5531E+01  0.3168E+01  0.2200E+02  0.4666E+05  0.7935E+01
  0.2069E+02  0.7906E+02  0.5522E+01  0.3183E+01  0.2210E+02  0.4739E+05  0.8115E+01
  0.1667E+02  0.7952E+02  0.5515E+01  0.3196E+01  0.2220E+02  0.4803E+05  0.8273E+01
  0.1319E+02  0.7991E+02  0.5509E+01  0.3207E+01  0.2227E+02  0.4858E+05  0.8411E+01
  0.1022E+02  0.8025E+02  0.5503E+01  0.3216E+01  0.2234E+02  0.4906E+05  0.8529E+01
  0.7733E+01  0.8053E+02  0.5499E+01  0.3224E+01  0.2239E+02  0.4946E+05  0.8628E+01
  0.5688E+01  0.8076E+02  0.5495E+01  0.3230E+01  0.2244E+02  0.4979E+05  0.8710E+01
  0.4047E+01  0.8095E+02  0.5492E+01  0.3235E+01  0.2247E+02  0.5005E+05  0.8777E+01
  0.2766E+01  0.0000E+00  0.0000E+00  0.3239E+01  0.2250E+02  0.5026E+05  0.8828E+01
  0.1800E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1098E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6055E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2615E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
