       zProf     mProfAv  mProfPlume       mProf      fwFlux    heatFlux Entrainment       tendT       tendS
  0.3956E+03  0.0000E+00  0.0000E+00  0.0000E+00 -0.0000E+00  0.0000E+00 -0.2790E+03 -0.0000E+00 -0.0000E+00
  0.3842E+03  0.3806E-04 -0.1452E-03  0.5688E-04 -0.2607E-01  0.1747E+05 -0.4445E+03 -0.4262E-04 -0.3986E-05
  0.3686E+03  0.2578E-04 -0.1853E-03  0.5495E-04 -0.2519E-01  0.1687E+05 -0.5649E+03 -0.4117E-04 -0.3850E-05
  0.3503E+03  0.1500E-04 -0.2004E-03  0.5278E-04 -0.2419E-01  0.1621E+05 -0.6532E+03 -0.3955E-04 -0.3698E-05
  0.3304E+03  0.5544E-05 -0.2036E-03  0.5054E-04 -0.2316E-01  0.1552E+05 -0.7180E+03 -0.3787E-04 -0.3541E-05
  0.3096E+03 -0.2877E-05 -0.2023E-03  0.4831E-04 -0.2214E-01  0.1484E+05 -0.7642E+03 -0.3620E-04 -0.3386E-05
  0.2887E+03 -0.1049E-04 -0.1994E-03  0.4617E-04 -0.2116E-01  0.1418E+05 -0.7952E+03 -0.3459E-04 -0.3235E-05
  0.2679E+03 -0.1744E-04 -0.1961E-03  0.4412E-04 -0.2022E-01  0.1355E+05 -0.8132E+03 -0.3306E-04 -0.3092E-05
  0.2476E+03 -0.2365E-04 -0.1929E-03  0.4234E-04 -0.1941E-01  0.1300E+05 -0.8201E+03 -0.3173E-04 -0.2966E-05
  0.2279E+03 -0.2899E-04 -0.1899E-03  0.4104E-04 -0.1881E-01  0.1260E+05 -0.8177E+03 -0.3075E-04 -0.2872E-05
  0.2091E+03 -0.3414E-04 -0.1871E-03  0.3956E-04 -0.1813E-01  0.1215E+05 -0.8076E+03 -0.2964E-04 -0.2767E-05
  0.1912E+03 -0.3901E-04 -0.1846E-03  0.3804E-04 -0.1744E-01  0.1168E+05 -0.7911E+03 -0.2851E-04 -0.2658E-05
  0.1741E+03 -0.4338E-04 -0.1823E-03  0.3674E-04 -0.1684E-01  0.1128E+05 -0.7695E+03 -0.2753E-04 -0.2565E-05
  0.1581E+03 -0.4725E-04 -0.1803E-03  0.3568E-04 -0.1635E-01  0.1096E+05 -0.7439E+03 -0.2673E-04 -0.2487E-05
  0.1430E+03 -0.5073E-04 -0.1784E-03  0.3477E-04 -0.1594E-01  0.1068E+05 -0.7152E+03 -0.2605E-04 -0.2420E-05
  0.1288E+03 -0.5390E-04 -0.1767E-03  0.3394E-04 -0.1556E-01  0.1042E+05 -0.6840E+03 -0.2543E-04 -0.2359E-05
  0.1156E+03 -0.5681E-04 -0.1751E-03  0.3317E-04 -0.1520E-01  0.1019E+05 -0.6511E+03 -0.2486E-04 -0.2303E-05
  0.1032E+03 -0.5948E-04 -0.1737E-03  0.3247E-04 -0.1488E-01  0.9971E+04 -0.6169E+03 -0.2433E-04 -0.2252E-05
  0.9174E+02 -0.6190E-04 -0.1724E-03  0.3183E-04 -0.1459E-01  0.9775E+04 -0.5817E+03 -0.2385E-04 -0.2205E-05
  0.8111E+02 -0.6408E-04 -0.1712E-03  0.3129E-04 -0.1434E-01  0.9609E+04 -0.5459E+03 -0.2345E-04 -0.2165E-05
  0.7129E+02 -0.6606E-04 -0.1702E-03  0.3079E-04 -0.1411E-01  0.9455E+04 -0.5099E+03 -0.2307E-04 -0.2129E-05
  0.6225E+02 -0.6763E-04 -0.1692E-03  0.3056E-04 -0.1401E-01  0.9385E+04 -0.4738E+03 -0.2290E-04 -0.2111E-05
  0.5398E+02 -0.6903E-04 -0.1683E-03  0.3039E-04 -0.1393E-01  0.9331E+04 -0.4377E+03 -0.2277E-04 -0.2096E-05
  0.4643E+02 -0.7042E-04 -0.1675E-03  0.3009E-04 -0.1379E-01  0.9242E+04 -0.4019E+03 -0.2255E-04 -0.2073E-05
  0.3959E+02 -0.7171E-04 -0.1668E-03  0.2979E-04 -0.1366E-01  0.9149E+04 -0.3666E+03 -0.2232E-04 -0.2049E-05
  0.3342E+02 -0.7288E-04 -0.1662E-03  0.2950E-04 -0.1352E-01  0.9060E+04 -0.3319E+03 -0.2211E-04 -0.2024E-05
