       zProf      rProfP      wProfP      tProfP      sProfP      aProfP   mIntProfP
  0.4000E+03  0.1000E+02  0.1000E+02  0.0000E+00  0.1000E-02  0.0000E+00  0.0000E+00
  0.3911E+03  0.1169E+02  0.8620E+01  0.6668E+00  0.3509E+01  0.1922E+03  0.1387E-01
  0.3772E+03  0.1422E+02  0.7224E+01  0.1408E+01  0.8872E+01  0.5529E+03  0.6623E-01
  0.3600E+03  0.1723E+02  0.6128E+01  0.2015E+01  0.1328E+02  0.1096E+04  0.1669E+00
  0.3406E+03  0.2046E+02  0.5344E+01  0.2474E+01  0.1661E+02  0.1826E+04  0.3132E+00
  0.3201E+03  0.2370E+02  0.4793E+01  0.2814E+01  0.1908E+02  0.2732E+04  0.4977E+00
  0.2991E+03  0.2688E+02  0.4400E+01  0.3068E+01  0.2093E+02  0.3794E+04  0.7125E+00
  0.2782E+03  0.2993E+02  0.4114E+01  0.3261E+01  0.2234E+02  0.4985E+04  0.9500E+00
  0.2576E+03  0.3283E+02  0.3899E+01  0.3410E+01  0.2343E+02  0.6279E+04  0.1204E+01
  0.2376E+03  0.3558E+02  0.3733E+01  0.3527E+01  0.2429E+02  0.7648E+04  0.1468E+01
  0.2183E+03  0.3817E+02  0.3602E+01  0.3621E+01  0.2497E+02  0.9068E+04  0.1738E+01
  0.1999E+03  0.4060E+02  0.3495E+01  0.3696E+01  0.2552E+02  0.1052E+05  0.2009E+01
  0.1824E+03  0.4288E+02  0.3407E+01  0.3758E+01  0.2598E+02  0.1198E+05  0.2278E+01
  0.1659E+03  0.4501E+02  0.3334E+01  0.3810E+01  0.2636E+02  0.1343E+05  0.2543E+01
  0.1503E+03  0.4700E+02  0.3272E+01  0.3853E+01  0.2667E+02  0.1486E+05  0.2802E+01
  0.1357E+03  0.4886E+02  0.3218E+01  0.3889E+01  0.2694E+02  0.1627E+05  0.3052E+01
  0.1220E+03  0.5059E+02  0.3172E+01  0.3920E+01  0.2717E+02  0.1763E+05  0.3293E+01
  0.1092E+03  0.5220E+02  0.3132E+01  0.3947E+01  0.2736E+02  0.1894E+05  0.3523E+01
  0.9726E+02  0.5369E+02  0.3097E+01  0.3970E+01  0.2753E+02  0.2021E+05  0.3742E+01
  0.8622E+02  0.5506E+02  0.3066E+01  0.3990E+01  0.2767E+02  0.2141E+05  0.3949E+01
  0.7600E+02  0.5633E+02  0.3039E+01  0.4007E+01  0.2780E+02  0.2254E+05  0.4144E+01
  0.6658E+02  0.5750E+02  0.3014E+01  0.4022E+01  0.2791E+02  0.2362E+05  0.4326E+01
  0.5793E+02  0.5857E+02  0.2993E+01  0.4035E+01  0.2801E+02  0.2462E+05  0.4496E+01
  0.5003E+02  0.5955E+02  0.2974E+01  0.4046E+01  0.2809E+02  0.2555E+05  0.4653E+01
  0.4284E+02  0.6044E+02  0.2958E+01  0.4056E+01  0.2816E+02  0.2642E+05  0.4798E+01
  0.3634E+02  0.6124E+02  0.2943E+01  0.4065E+01  0.2823E+02  0.2721E+05  0.4930E+01
  0.3050E+02  0.6196E+02  0.2930E+01  0.4073E+01  0.2828E+02  0.2793E+05  0.5049E+01
  0.2530E+02  0.6260E+02  0.2919E+01  0.4079E+01  0.2833E+02  0.2858E+05  0.5157E+01
  0.2069E+02  0.6316E+02  0.2909E+01  0.4085E+01  0.2837E+02  0.2915E+05  0.5252E+01
  0.1667E+02  0.6366E+02  0.2901E+01  0.4090E+01  0.2841E+02  0.2966E+05  0.5336E+01
  0.1319E+02  0.6409E+02  0.2894E+01  0.4094E+01  0.2844E+02  0.3011E+05  0.5409E+01
  0.1022E+02  0.6445E+02  0.2888E+01  0.4097E+01  0.2846E+02  0.3049E+05  0.5472E+01
  0.7733E+01  0.0000E+00  0.0000E+00  0.4100E+01  0.2848E+02  0.3081E+05  0.5524E+01
  0.5688E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4047E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2766E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1800E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1098E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6055E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2615E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
