       zProf     mProfAv  mProfPlume       mProf      fwFlux    heatFlux Entrainment       tendT       tendS
  0.3956E+03  0.0000E+00  0.0000E+00  0.0000E+00 -0.0000E+00  0.0000E+00 -0.2769E+03 -0.0000E+00 -0.0000E+00
  0.3842E+03  0.1419E-04 -0.1157E-02  0.6262E-04 -0.2870E-01  0.1923E+05 -0.4325E+03 -0.4692E-04 -0.4388E-05
  0.3686E+03  0.5283E-05 -0.7535E-03  0.6044E-04 -0.2770E-01  0.1856E+05 -0.5352E+03 -0.4529E-04 -0.4235E-05
  0.3503E+03 -0.7274E-07 -0.5279E-03  0.5790E-04 -0.2654E-01  0.1778E+05 -0.5997E+03 -0.4339E-04 -0.4057E-05
  0.3304E+03 -0.4309E-05 -0.3981E-03  0.5518E-04 -0.2529E-01  0.1694E+05 -0.6368E+03 -0.4134E-04 -0.3866E-05
  0.3096E+03 -0.8101E-05 -0.3180E-03  0.5238E-04 -0.2401E-01  0.1609E+05 -0.6543E+03 -0.3925E-04 -0.3670E-05
  0.2887E+03 -0.1166E-04 -0.2654E-03  0.4960E-04 -0.2274E-01  0.1523E+05 -0.6578E+03 -0.3717E-04 -0.3476E-05
  0.2679E+03 -0.1496E-04 -0.2290E-03  0.4699E-04 -0.2154E-01  0.1443E+05  0.3950E+04 -0.3521E-04 -0.3293E-05
  0.2476E+03  0.6477E-04  0.0000E+00  0.6477E-04 -0.5938E-01  0.1989E+05 -0.0000E+00 -0.4853E-04 -0.9072E-05
  0.2279E+03  0.6522E-04  0.0000E+00  0.6522E-04 -0.5979E-01  0.2003E+05 -0.0000E+00 -0.4887E-04 -0.9127E-05
  0.2091E+03  0.6536E-04  0.0000E+00  0.6536E-04 -0.5992E-01  0.2007E+05 -0.0000E+00 -0.4898E-04 -0.9139E-05
  0.1912E+03  0.6550E-04  0.0000E+00  0.6550E-04 -0.6004E-01  0.2011E+05 -0.0000E+00 -0.4908E-04 -0.9149E-05
  0.1741E+03  0.6588E-04  0.0000E+00  0.6588E-04 -0.6040E-01  0.2023E+05 -0.0000E+00 -0.4937E-04 -0.9191E-05
  0.1581E+03  0.6649E-04  0.0000E+00  0.6649E-04 -0.6095E-01  0.2042E+05 -0.0000E+00 -0.4982E-04 -0.9263E-05
  0.1430E+03  0.6720E-04  0.0000E+00  0.6720E-04 -0.6160E-01  0.2064E+05 -0.0000E+00 -0.5036E-04 -0.9348E-05
  0.1288E+03  0.6794E-04  0.0000E+00  0.6794E-04 -0.6228E-01  0.2086E+05 -0.0000E+00 -0.5091E-04 -0.9438E-05
  0.1156E+03  0.6868E-04  0.0000E+00  0.6868E-04 -0.6296E-01  0.2109E+05 -0.0000E+00 -0.5146E-04 -0.9530E-05
  0.1032E+03  0.6943E-04  0.0000E+00  0.6943E-04 -0.6365E-01  0.2132E+05 -0.0000E+00 -0.5203E-04 -0.9624E-05
  0.9174E+02  0.7024E-04  0.0000E+00  0.7024E-04 -0.6439E-01  0.2157E+05 -0.0000E+00 -0.5263E-04 -0.9728E-05
  0.8111E+02  0.7109E-04  0.0000E+00  0.7109E-04 -0.6517E-01  0.2183E+05 -0.0000E+00 -0.5327E-04 -0.9836E-05
  0.7129E+02  0.7219E-04  0.0000E+00  0.7219E-04 -0.6618E-01  0.2217E+05 -0.0000E+00 -0.5409E-04 -0.9978E-05
  0.6225E+02  0.7357E-04  0.0000E+00  0.7357E-04 -0.6744E-01  0.2259E+05 -0.0000E+00 -0.5512E-04 -0.1016E-04
  0.5398E+02  0.7476E-04  0.0000E+00  0.7476E-04 -0.6853E-01  0.2296E+05 -0.0000E+00 -0.5602E-04 -0.1031E-04
  0.4643E+02  0.7568E-04  0.0000E+00  0.7568E-04 -0.6938E-01  0.2324E+05 -0.0000E+00 -0.5671E-04 -0.1042E-04
  0.3959E+02  0.7648E-04  0.0000E+00  0.7648E-04 -0.7011E-01  0.2349E+05 -0.0000E+00 -0.5731E-04 -0.1051E-04
  0.3342E+02  0.7747E-04  0.0000E+00  0.7747E-04 -0.7101E-01  0.2379E+05 -0.0000E+00 -0.5805E-04 -0.1061E-04
  0.2790E+02  0.7858E-04  0.0000E+00  0.7858E-04 -0.7204E-01  0.2413E+05 -0.0000E+00 -0.5888E-04 -0.1073E-04
  0.2299E+02  0.7947E-04  0.0000E+00  0.7947E-04 -0.7285E-01  0.2440E+05 -0.0000E+00 -0.5955E-04 -0.1081E-04
  0.1868E+02  0.8009E-04  0.0000E+00  0.8009E-04 -0.7342E-01  0.2460E+05 -0.0000E+00 -0.6001E-04 -0.1084E-04
  0.1493E+02  0.8032E-04  0.0000E+00  0.8032E-04 -0.7363E-01  0.2467E+05 -0.0000E+00 -0.6019E-04 -0.1079E-04
  0.1170E+02  0.8007E-04  0.0000E+00  0.8007E-04 -0.7340E-01  0.2459E+05 -0.0000E+00 -0.6000E-04 -0.1059E-04
  0.8977E+01  0.7889E-04  0.0000E+00  0.7889E-04 -0.7232E-01  0.2423E+05 -0.0000E+00 -0.5911E-04 -0.1008E-04
  0.6711E+01  0.7612E-04  0.0000E+00  0.7612E-04 -0.6978E-01  0.2338E+05 -0.0000E+00 -0.5704E-04 -0.9125E-05
  0.4867E+01  0.7205E-04  0.0000E+00  0.7205E-04 -0.6605E-01  0.2213E+05 -0.0000E+00 -0.5399E-04 -0.7882E-05
  0.3406E+01  0.6769E-04  0.0000E+00  0.6769E-04 -0.6205E-01  0.2079E+05 -0.0000E+00 -0.5072E-04 -0.6652E-05
  0.2283E+01  0.6384E-04  0.0000E+00  0.6384E-04 -0.5852E-01  0.1960E+05 -0.0000E+00 -0.4784E-04 -0.5640E-05
  0.1449E+01  0.6084E-04  0.0000E+00  0.6084E-04 -0.5577E-01  0.1868E+05 -0.0000E+00 -0.4559E-04 -0.4895E-05
  0.8518E+00  0.5864E-04  0.0000E+00  0.5864E-04 -0.5375E-01  0.1801E+05 -0.0000E+00 -0.4394E-04 -0.4377E-05
  0.4335E+00  0.5708E-04  0.0000E+00  0.5708E-04 -0.5233E-01  0.1753E+05 -0.0000E+00 -0.4277E-04 -0.4025E-05
  0.1308E+00  0.5595E-04  0.0000E+00  0.5595E-04 -0.5129E-01  0.1718E+05 -0.0000E+00 -0.4193E-04 -0.3777E-05
